"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000007vo70000fvu&c=000000020000000000000000000000000000000000000002&ct=0&tl_id=2-A&vs=INTL.2-7-CHN-MK.A&cy=2016&vo=0&v=H&end=2017"
"Fri Jul 05 2019 08:02:47 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Electricity",""
"","Capacity",""
"","Capacity","Million Kw"
"","China","Million Kw",65.871,69.13,72.36,76.44,80.117,87.045,93.82,102.897,115.497,126.638,137.891,151.173,166.532,183.549,201.1642,218.7122,238.118,256.326,279.656,302.072,325.526,344.714,364.05,398.067,449.0006,518.5108,626.5898,718.5158,794.202,878.842,969.746,1066.297,1151.491,1265.099,1376.958,1516.215,1653.215,-
"","United States","Million Kw",577.6135,597.31314,612.593125,619.675009,633.531479,653.252389,662.878925,672.125225,675.604927,709.75814,720.7804,725.437086,731.680874,739.376372,748.395563,753.613175,760.030729,762.523659,759.614431,768.962028,811.719,848.254,905.301,948.448,962.942,978.019,986.214,994.8885,1010.1726,1025.4004,1039.0618,1051.251,1063.033,1060.0635,1075.7488,1073.833,1087.0979,-
"","Nuclear","Million Kw"
"","China","Million Kw",0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.232,2.167,2.188,2.167,2.188,2.167,2.167,2.167,2.167,5.303,5.977,6.587,6.587,7.572,8.438,8.438,8.438,10.065,11.816,12.86,16.038,19.007,26.774,31.384,-
"","United States","Million Kw",51.81,56.042,60.035,63.009,69.652,79.397,85.241,93.583,94.695,98.16061,99.62358,99.58888,98.98538,99.04108,99.14825,99.51486,100.78439,99.71564,97.06968,97.41061,97.86,98.159,98.657,99.209,99.628,99.988,100.334,100.266,100.755,101.0037,101.1674,101.4188,101.885,99.2403,98.5693,98.672,99.5648,-
"","Renewables",""
"","Renewables","Million Kw"
"","China","Million Kw",20.32,21.93,22.96,24.16,25.597,26.415,27.543,30.193,32.698,34.583,36.046,37.884,40.634,44.63,48.975,52.134,55.587,59.73,65.065,72.971,80.819,84.535,88.2,97.319,107.9306,114.9478,128.7678,146.6128,174.264,205.114,233.401,267.761,298.621,357.441,412.211,476.211,541.141,-
"","United States","Million Kw",81.7,82.4,83,83.9,85.3,88.9,89.3,89.7,90.3,74.110934,73.923046,76.036306,74.772696,77.410411,78.040935,78.561734,76.437422,79.414569,79.150644,79.393068,95.454,95.537,96.752,97.532,97.104,99.632,102.816,108.7415,117.3376,127.9575,133.5198,141.2922,157.6221,164.1071,180.4002,194.1099,214.472,-
"","Hydroelectricity","Million Kw"
"","China","Million Kw",20.32,21.93,22.96,24.16,25.597,26.415,27.543,30.193,32.698,34.583,36.046,37.884,40.634,44.63,48.975,52.134,55.587,59.73,65.065,72.971,79.352,83.006,86.075,94.896,105.2416,111.79,124.09,139.285,162.4,182.59,199.45,214.6,229.14,258.91,283.03,296,305.42,-
"","United States","Million Kw",81.7,82.4,83,83.9,85.3,88.9,89.3,89.7,90.3,74.110934,73.923046,76.036306,74.772696,77.410411,78.040935,78.561734,76.437422,79.414569,79.150644,79.393068,79.359,78.916,79.356,78.694,77.641,77.541,77.821,77.885,77.93,78.5177,78.8247,78.6516,78.738,79.2,79.6773,79.6642,79.9129,-
"","Non-Hydroelectric Renewables",""
"","Non-Hydroelectric Renewables","Million Kw"
"","China","Million Kw",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.467,1.529,2.125,2.423,2.689,3.1578,4.6778,7.3278,11.864,22.524,33.951,53.161,69.481,98.531,129.181,180.211,235.721,-
