year,country,numPatents
2006,United States,1950
2007,United States,1837
2008,United States,1880
2009,United States,2187
2010,United States,3049
2011,United States,3453
2012,United States,4187
2013,United States,4689
2014,United States,5055
2015,United States,4746
2016,United States,4725
2006,Japan,966
2007,Japan,910
2008,Japan,915
2009,Japan,1042
2010,Japan,1511
2011,Japan,1645
2012,Japan,2039
2013,Japan,2033
2014,Japan,2304
2015,Japan,2387
2016,Japan,2237
2006,EU,510
2007,EU,582
2008,EU,598
2009,EU,629
2010,EU,1021
2011,EU,1096
2012,EU,1382
2013,EU,1658
2014,EU,1970
2015,EU,1909
2016,EU,1797
2006,ROW,416
2007,ROW,451
2008,ROW,484
2009,ROW,591
2010,ROW,930
2011,ROW,1062
2012,ROW,1281
2013,ROW,1581
2014,ROW,1851
2015,ROW,2087
2016,ROW,1942
2006,China,24
2007,China,26
2008,China,27
2009,China,47
2010,China,87
2011,China,98
2012,China,171
2013,China,191
2014,China,248
2015,China,295
2016,China,311
