"U.S. Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Transportation",1521.4093070491906,1474.768477525312,1533.7711657142565,1570.2327367817375,1624.573435440636,1659.150243290916,1714.6254241046504,1740.5453790911165,1782.7342128860735,1853.6953956870982,1903.8205147086042,1875.5125466880063,1916.2920247462553,1923.7646126938848,1956.2719095351986,1966.012693635266,1966.4303268993606,1967.245624506835,1863.5018959140928,1789.0692622486972,1795.1757312469435,1762.3123407294981,1743.4536759020018,1746.5883179263697,1780.757322563179,1789.1360093909502,1824.0967832233953,1841.5520415390502,1871.2940227690033,1874.2744881089798,1624.943270527236,1804.3053003963103
"Electric power industry",1879.7400720565015,1873.9808760945768,1889.215818533919,1964.551677363227,1989.1454715061732,2005.5956516423146,2077.9882163625916,2143.3161147798764,2229.640042321494,2243.042364859671,2349.604930373993,2310.3250948236455,2326.0011922386516,2357.5013686904326,2390.645853419566,2456.934753470327,2401.8816655411993,2467.873468327355,2414.8550981313438,2198.3228834514616,2312.771662659719,2209.959692023525,2072.4052370441977,2090.7228385621393,2090.858894210968,1951.4613205630333,1859.1827899034631,1779.214668280822,1799.127811804578,1650.4953330366661,1481.8359027256165,1584.0818100082665
"Industry",1677.2640205654448,1651.424379196351,1687.681730491549,1657.1305965240497,1683.9195101036867,1703.2948424272295,1733.659694570504,1735.3414801915847,1706.1449342989065,1657.2011487599234,1649.7772365677536,1604.5950734709636,1585.0776102133063,1565.4770109727633,1615.898384758633,1574.4439721790473,1611.099225611262,1600.733626798669,1547.5383000405554,1394.824119736661,1488.5804648709804,1494.9232648611555,1485.5234232894331,1544.3747749928436,1530.641039497388,1518.1099177271014,1463.0529148748983,1494.5449142580164,1558.0021661279543,1568.2088949152762,1465.4304952341145,1487.2656925442425
"Agriculture",592.8503240132683,584.9811703211369,588.0174600863664,606.0706193560703,610.829904495151,616.7710326225294,621.7907778173663,611.382435926447,618.6819178255885,613.2937678238844,606.1582119226955,615.7021810961064,620.8420088324679,621.9786083739298,629.8355737110538,630.2089954230548,631.2136163172812,647.6853144763624,635.6599398816139,633.7151760158849,639.1494556409323,630.7360305438511,622.2392485477848,644.8777998597434,650.515076226221,647.4542165081396,643.2508750774972,654.241863674004,670.6206271770736,655.4391333904642,637.1868359011255,635.7613566674768
"Commercial",447.0214827183881,454.4716907786918,449.9967404037528,443.1088155334602,446.0818428861558,444.5296867107297,451.6637401713108,442.91807623082485,416.37669592890364,411.8634257664505,425.67932149385075,414.0976471782327,415.356387317857,431.76563587555427,429.17817469575397,418.90948821627586,404.9507624598428,418.47441656510193,425.38525945056614,428.6636367578842,430.83875536170626,425.4917619549623,406.44143358893365,429.23753490491464,439.38787358797254,451.66836276439875,435.49459644934416,437.6306810595109,453.7059796943433,461.95504946669956,436.02524944755584,439.15669036640185
"Residential",345.5971208835624,355.26432510503173,361.8081482756347,373.14753379193655,363.7734453703776,367.29204402042717,399.1379139776281,380.425956504608,346.5229634934341,366.3253707076728,387.6421266953948,377.7904345027556,375.1131878912871,393.6788137995453,381.91337527038166,371.1894728807423,334.3638037793209,355.266733073537,363.827770780913,354.3651443668381,355.2272215431216,348.6142096708283,306.22270468911,356.9262346697272,377.2733039070817,350.1992261997147,326.3945889348253,328.36094467195727,375.82142101428747,382.3947127583859,356.93956998255175,365.5540464574806
"U.S. territories",23.4486210145698,23.5152712813045,24.3890630939888,25.2835254718889,26.843180877738497,25.3002168738408,24.6638616909906,25.2774206387824,24.5835014085905,24.4639544208188,46.4806300401747,55.4993302340182,54.59532622732009,58.5363107257374,60.6216470055045,59.6589850522115,57.9820946846478,54.168774066401404,43.7734552308564,41.7813194751626,36.454617040041,35.1659359310392,34.24780928218391,28.93359207957,29.092085801344503,29.3295906661743,26.9598132822602,26.279326357450998,26.2596192483552,25.149264199738298,23.6122889289323,24.1033958819053
"Gross total",6487.330948300926,6418.406190302404,6534.880126599467,6639.52550482237,6745.166790679919,6821.933717587987,7023.5296286950415,7079.20686336324,7124.68426816299,7169.885428025519,7369.162971802467,7253.522307993728,7293.277737467144,7352.702361131847,7464.364918396092,7477.358360856925,7407.921495292914,7511.447957814262,7294.541719429942,6840.7415420525895,7058.197908363444,6907.203235714859,6670.533532343645,6841.661092995308,6898.5255957941545,6737.3586438195125,6578.432361745684,6561.824439840812,6754.8316478355955,6617.91687587621,6025.973612747133,6340.228292322083
